city|location|price|bedrooms|baths|size
Lahore|DHA Phase 7 - Block R, DHA Phase 7|69500000|5|6|4500
Lahore|Tariq Gardens, Lahore|46500000|5|6|2250
Lahore|Wapda Town, Lahore|42500000|5|6|2250
Lahore|Johar Town Phase 2, Johar Town|29800000|5|5|1125
Lahore|OPF Housing Scheme, Lahore|39800000|5|6|2250
Lahore|Valencia Housing Society, Lahore|140000000|6|6|9000
Lahore|Park View City, Lahore|19900000|4|4|1125
Lahore|Wapda Town Phase 1, Wapda Town|57900000|5|6|2250
Lahore|Johar Town, Lahore|46500000|5|6|2250
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|54000000|4|5|2475
Lahore|DHA Phase 8, DHA Defence|78000000|5|6|4500
Lahore|Bahria Town, Lahore|7000000|1|2|495
Lahore|UET Housing Society - Block C, UET Housing Society|35000000|5|6|2250
Lahore|Jubilee Town, Lahore|33500000|6|6|2250
Lahore|College Road, Lahore|45000000|6|6|2700
Lahore|Bahria Town - Sector C, Bahria Town|90000000|5|6|4500
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|40000000|4|5|2250
Lahore|New Lahore City, Lahore|8500000|3|3|675
Lahore|New Lahore City, Lahore|14000000|4|4|1125
Lahore|Bahria Town - Sector D, Bahria Town|22500000|4|4|1125
Lahore|DHA Phase 8 - Block M, DHA Phase 8|49000000|4|5|2250
Lahore|Allama Iqbal Town - Nargis Block, Allama Iqbal Town|25500000|5|5|1125
Lahore|Allama Iqbal Town - Asif Block, Allama Iqbal Town|13500000|3|3|675
Lahore|Bahria Town - Nishtar Block, Bahria Town - Sector E|8100000|0|1|472
Lahore|Bahria Town - Rafi Block, Bahria Town - Sector E|13000000|2|2|1058
Lahore|Bahria Town - Nishtar Block, Bahria Town - Sector E|7963000|1|1|630
Lahore|Valencia Housing Society, Lahore|77400000|6|6|4500
Lahore|Park View City, Lahore|19500000|4|5|1125
Lahore|Johar Town Phase 1, Johar Town|41500000|5|6|2250
Lahore|Model Town, Lahore|61000000|3|3|4500
Lahore|Johar Town Phase 2, Johar Town|29800000|5|6|1125
Lahore|Johar Town Phase 2, Johar Town|42200000|5|6|2250
Lahore|Johar Town, Lahore|39600000|5|6|2250
Lahore|Faisal Town, Lahore|25000000|3|3|1125
Lahore|DHA Phase 6, DHA Defence|79600000|6|6|4950
Lahore|DHA Phase 7, DHA Defence|67500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|320000000|6|6|9000
Lahore|Thokar Niaz Baig, Lahore|8100000|3|3|675
Lahore|Lake City, Raiwind Road|85000000|5|6|4500
Lahore|DHA Phase 7 - Block R, DHA Phase 7|65500000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|250000000|6|6|9000
Lahore|Afzal Park, Lahore|16000000|4|6|1238
Lahore|Johar Town, Lahore|18800000|3|3|1125
Lahore|Bahria Town - Umar Block, Bahria Town - Sector B|19000000|3|3|1125
Lahore|DHA Phase 7, DHA Defence|75000000|5|6|4500
Lahore|DHA Phase 6, DHA Defence|47000000|4|5|2250
Lahore|DHA 11 Rahbar, Lahore|24000000|3|4|1125
Lahore|DHA Phase 7, DHA Defence|63000000|5|6|4500
